window,date_start,date_end,total_edges,graph_msm,msm_trigger,static_f1,msm_f1,f1_delta
51,2021-03-09,2023-03-08,29,0.6172,False,0.4222,0.4785,0.0563
52,2021-04-08,2023-04-06,18,0.6371,False,0.4367,0.6633,0.2266
53,2021-05-07,2023-05-08,31,0.6284,False,0.2372,0.4111,0.1739
54,2021-06-08,2023-06-07,28,0.6974,False,0.3995,0.3007,-0.0988
55,2021-07-08,2023-07-10,25,0.7286,False,0.1737,0.3624,0.1888
56,2021-08-06,2023-08-08,15,0.6689,False,0.2005,0.1667,-0.0338
57,2021-09-07,2023-09-07,16,0.6,False,0.1556,0.1538,-0.0017
58,2021-10-06,2023-10-06,16,0.6667,False,0.1333,0.3311,0.1978
59,2021-11-04,2023-11-06,15,0.775,False,0.0417,0.3778,0.3361
60,2021-12-06,2023-12-06,16,0.75,False,0.4745,0.3278,-0.1467
61,2022-01-05,2024-01-08,15,0.7381,False,0.3124,0.2675,-0.0449
62,2022-02-04,2024-02-07,23,0.69,False,0.4382,0.2,-0.2382
63,2022-03-08,2024-03-08,15,0.69,False,0.3833,0.2151,-0.1683
64,2022-04-06,2024-04-09,16,0.6389,False,0.3429,0.3174,-0.0254
65,2022-05-06,2024-05-08,14,0.6296,False,0.2857,0.3452,0.0595
66,2022-06-07,2024-06-07,18,0.8289,False,0.3683,0.4375,0.0692
67,2022-07-08,2024-07-10,24,0.6923,False,0.3086,0.4212,0.1126
68,2022-08-08,2024-08-08,24,0.6667,False,0.3519,0.4681,0.1162
69,2022-09-07,2024-09-09,22,0.6875,False,0.186,0.5335,0.3475
70,2022-10-06,2024-10-08,19,0.6742,False,0.2815,0.1667,-0.1148
71,2022-11-04,2024-11-06,19,0.7241,False,0.2799,0.235,-0.0448
72,2022-12-06,2024-12-06,17,0.77,False,0.3129,0.2271,-0.0858
73,2023-01-06,2025-01-08,18,0.7935,False,0.4235,0.3955,-0.028
74,2023-02-07,2025-02-10,27,0.6328,False,0.5352,0.6285,0.0933
75,2023-03-09,2025-03-12,21,0.6917,False,0.4211,0.2386,-0.1825
76,2023-04-10,2025-04-10,28,0.6351,False,0.3704,0.4218,0.0515
77,2023-05-09,2025-05-12,16,0.6216,False,0.2843,0.3788,0.0944
78,2023-06-08,2025-06-11,18,0.6694,False,0.3016,0.3762,0.0747
79,2023-07-11,2025-07-14,16,0.629,False,0.4686,0.3488,-0.1198
80,2023-08-09,2025-08-12,16,0.9167,False,0.2286,0.2884,0.0598
81,2023-09-08,2025-09-11,17,0.9306,False,0.1719,0.3021,0.1302
82,2023-10-09,2025-10-10,21,0.7609,False,0.5226,0.4286,-0.094
83,2023-11-07,2025-11-10,22,0.6786,False,0.4602,0.4302,-0.0301
