Date,SPY,QQQ,IWM,VIX,UUP,TLT,GLD,HYG,MOVE,USO,OVX
2017-11-20,226.8083953857422,145.68441772460938,134.67047119140625,10.649999618530273,20.43389892578125,100.44986724853516,121.30999755859375,56.55869674682617,48.099998474121094,90.23999786376953,27.18000030517578
2017-11-21,228.29232788085938,147.2660675048828,136.0754852294922,9.729999542236328,20.408838272094727,100.76789855957031,121.51000213623047,56.67505645751953,48.09000015258789,91.19999694824219,26.639999389648438
2017-11-22,228.0904083251953,147.44595336914062,135.89537048339844,9.880000114440918,20.250110626220703,101.09391784667969,122.62999725341797,56.76557922363281,46.880001068115234,92.80000305175781,26.829999923706055
2017-11-24,228.6172637939453,147.9857635498047,135.9494171142578,9.670000076293945,20.158214569091797,100.81565856933594,122.31999969482422,56.80437088012695,46.15999984741211,94.31999969482422,26.8799991607666
2017-11-27,228.50308227539062,147.91946411132812,135.53506469726562,9.869999885559082,20.183279037475586,100.67249298095703,122.83000183105469,56.62981414794922,45.290000915527344,92.72000122070312,28.360000610351562
2017-11-28,230.8212432861328,148.29824829101562,137.66958618164062,10.029999732971191,20.266820907592773,100.80767059326172,122.80999755859375,56.80437088012695,44.93000030517578,92.63999938964844,28.1299991607666
2017-11-29,230.68069458007812,145.71279907226562,138.12889099121094,10.699999809265137,20.258460998535156,99.81380462646484,122.04000091552734,56.73324966430664,45.540000915527344,91.76000213623047,28.020000457763672
2017-11-30,232.7003631591797,146.9344940185547,138.38108825683594,11.279999732971191,20.208341598510742,99.47991943359375,121.0999984741211,56.74616241455078,46.83000183105469,91.76000213623047,25.950000762939453
2017-12-01,232.21734619140625,146.3094482421875,137.81370544433594,11.430000305175781,20.191631317138672,100.82231140136719,121.58999633789062,56.72801208496094,50.16999816894531,93.36000061035156,23.729999542236328
2017-12-04,231.9364013671875,144.6237030029297,137.30030822753906,11.680000305175781,20.258460998535156,100.87015533447266,121.18000030517578,56.70851516723633,48.7599983215332,91.91999816894531,23.68000030517578
2017-12-05,231.10220336914062,144.71839904785156,135.93133544921875,11.329999923706055,20.291881561279297,101.3720703125,120.31999969482422,56.6760368347168,49.2400016784668,92.31999969482422,23.1299991607666
2017-12-06,231.14608764648438,145.37196350097656,135.2919464111328,11.020000457763672,20.342002868652344,101.72256469726562,120.06999969482422,56.62413787841797,49.31999969482422,89.5999984741211,23.1299991607666
2017-12-07,231.8749542236328,145.86439514160156,136.23764038085938,10.15999984741211,20.383773803710938,100.92588806152344,118.48999786376953,56.650089263916016,49.2400016784668,90.63999938964844,23.1299991607666
2017-12-08,233.1393585205078,146.5083465576172,136.3637237548828,9.579999923706055,20.41718864440918,100.93388366699219,118.4800033569336,56.70851516723633,47.4900016784668,91.91999816894531,23.850000381469727
2017-12-11,233.8418731689453,147.64474487304688,136.30966186523438,9.34000015258789,20.41718864440918,100.72673034667969,118.01000213623047,56.721500396728516,46.56999969482422,92.80000305175781,22.959999084472656
2017-12-12,234.25450134277344,147.44595336914062,135.88636779785156,9.920000076293945,20.450605392456055,100.68687438964844,118.1500015258789,56.695526123046875,46.75,91.5199966430664,22.84000015258789
2017-12-13,234.22816467285156,147.73008728027344,136.69691467285156,10.180000305175781,20.3085880279541,101.44374084472656,119.16999816894531,56.72801208496094,45.029998779296875,90.63999938964844,23.489999771118164
2017-12-14,233.2711181640625,147.6259002685547,135.18385314941406,10.489999771118164,20.325298309326172,101.87397766113281,118.93000030517578,56.611114501953125,44.84000015258789,91.44000244140625,23.0
2017-12-15,235.213623046875,149.30213928222656,137.1112060546875,9.420000076293945,20.408838272094727,102.25637817382812,119.18000030517578,56.61763381958008,46.43000030517578,91.68000030517578,21.25
2017-12-18,236.70510864257812,150.5538787841797,138.96652221679688,9.529999732971191,20.377897262573242,101.32423400878906,119.7300033569336,56.6760368347168,46.72999954223633,91.5199966430664,18.43000030517578
2017-12-19,235.7960662841797,149.6618194580078,137.8677520751953,10.029999732971191,20.31936264038086,100.00971221923828,119.81999969482422,56.559234619140625,48.959999084472656,92.08000183105469,18.8799991607666
2017-12-20,235.67251586914062,149.50047302246094,138.1378631591797,9.720000267028809,20.294279098510742,98.9022445678711,120.13999938964844,56.60464859008789,49.95000076293945,92.87999725341797,19.459999084472656
2017-12-21,236.15792846679688,149.5194854736328,138.7427520751953,9.619999885559082,20.285919189453125,99.47870635986328,120.30999755859375,56.663978576660156,51.599998474121094,93.12000274658203,17.860000610351562
2017-12-22,236.09616088867188,149.3486328125,138.48959350585938,9.899999618530273,20.294279098510742,99.61441802978516,120.94000244140625,56.716121673583984,50.380001068115234,93.27999877929688,19.260000228881836
2017-12-26,235.813720703125,148.54197692871094,138.57095336914062,10.25,20.27755355834961,99.90985870361328,121.7699966430664,56.80085754394531,48.81999969482422,95.5999984741211,20.989999771118164
2017-12-27,235.9285430908203,148.56097412109375,138.43531799316406,10.470000267028809,20.235746383666992,101.2112045288086,122.2300033569336,56.82693099975586,47.72999954223633,95.36000061035156,20.639999389648438
2017-12-28,236.41392517089844,148.7412872314453,138.97775268554688,10.180000305175781,20.177209854125977,101.12340545654297,122.8499984741211,56.80085754394531,46.189998626708984,95.76000213623047,20.709999084472656
2017-12-29,235.52244567871094,147.82070922851562,137.82965087890625,11.039999961853027,20.093591690063477,101.28309631347656,123.6500015258789,56.885616302490234,46.599998474121094,96.08000183105469,21.31999969482422
2018-01-02,237.2082061767578,150.41160583496094,139.13143920898438,9.770000457763672,20.00997543334961,100.18930053710938,125.1500015258789,56.93776321411133,49.16999816894531,96.55999755859375,22.729999542236328
2018-01-03,238.7085418701172,151.87307739257812,139.27609252929688,9.149999618530273,20.085233688354492,100.66830444335938,124.81999969482422,57.211585998535156,47.599998474121094,98.72000122070312,22.75
2018-01-04,239.7147216796875,152.13876342773438,139.64675903320312,9.220000267028809,20.01833724975586,100.65234375,125.45999908447266,57.309349060058594,47.380001068115234,98.95999908447266,22.1200008392334
2018-01-05,241.31224060058594,153.6666717529297,139.93606567382812,9.220000267028809,20.03506088256836,100.36495971679688,125.33000183105469,57.34843826293945,46.06999969482422,98.4800033569336,22.299999237060547
2018-01-08,241.7535858154297,154.26461791992188,140.15304565429688,9.520000457763672,20.127038955688477,100.30104064941406,125.30999755859375,57.30282211303711,45.900001525878906,99.04000091552734,21.899999618530273
2018-01-09,242.30068969726562,154.27407836914062,139.96315002441406,10.079999923706055,20.168851852416992,98.95977020263672,124.7300033569336,57.12683868408203,47.290000915527344,100.55999755859375,22.959999084472656
2018-01-10,241.9300079345703,153.9134979248047,139.9812774658203,9.819999694824219,20.11867904663086,98.84002685546875,125.02999877929688,57.00295639038086,49.16999816894531,101.44000244140625,23.520000457763672
2018-01-11,243.69508361816406,154.96688842773438,142.38600158691406,9.880000114440918,20.03506088256836,99.2471923828125,125.44000244140625,57.19198989868164,48.189998626708984,101.5999984741211,23.520000457763672
2018-01-12,245.28378295898438,156.1057586669922,142.982666015625,10.15999984741211,19.826011657714844,99.41484069824219,126.95999908447266,57.09422302246094,47.61000061035156,102.95999908447266,23.520000457763672
2018-01-16,244.44529724121094,155.65972900390625,141.15646362304688,11.65999984741211,19.717309951782227,99.82999420166016,127.16999816894531,57.0616340637207,45.90999984741211,102.08000183105469,26.40999984741211
2018-01-17,246.7751922607422,157.3394775390625,142.4944305419922,11.90999984741211,19.767480850219727,99.69425964355469,126.13999938964844,57.068138122558594,45.880001068115234,102.23999786376953,24.700000762939453
2018-01-18,246.3604736328125,157.3679656982422,141.51808166503906,12.220000267028809,19.742393493652344,98.7681655883789,125.86000061035156,57.009456634521484,48.54999923706055,102.08000183105469,24.3799991607666
2018-01-19,247.4813690185547,157.86146545410156,143.3804473876953,11.270000457763672,19.775842666625977,98.24919128417969,126.41999816894531,57.068138122558594,,101.76000213623047,21.200000762939453
2018-01-22,249.49362182617188,159.55068969726562,144.14881896972656,11.029999732971191,19.708946228027344,98.34504699707031,126.6500015258789,57.120323181152344,52.599998474121094,102.23999786376953,22.030000686645508
2018-01-23,250.02316284179688,160.869873046875,144.60995483398438,11.100000381469727,19.658775329589844,98.7681655883789,127.27999877929688,57.28981399536133,52.54999923706055,103.76000213623047,22.34000015258789
2018-01-24,249.92605590820312,159.825927734375,143.71490478515625,11.470000267028809,19.466453552246094,98.23326110839844,128.8300018310547,57.20505905151367,54.11000061035156,105.76000213623047,23.93000030517578
2018-01-25,250.0319366455078,159.76898193359375,143.76919555664062,11.579999923706055,19.491539001464844,99.03958892822266,127.97000122070312,57.165950775146484,53.380001068115234,104.4800033569336,22.350000381469727
2018-01-26,252.92672729492188,162.21746826171875,144.2845001220703,11.079999923706055,19.44972801208496,98.67229461669922,128.07000732421875,57.211585998535156,55.630001068115234,105.91999816894531,22.290000915527344
