model_type,retrainer,exp_type,mean_rank,n_windows
rf,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,56.4157,83
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,56.4157,83
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,56.4157,83
rf,perf_drop_0.05_lookback_4,perf,56.6325,83
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,56.6867,83
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,56.6867,83
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_3,spy_msm,56.6867,83
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,56.6867,83
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,56.6867,83
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,56.6988,83
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,56.6988,83
rf,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,56.6988,83
rf,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,56.6988,83
rf,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,56.8253,83
rf,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,56.8253,83
rf,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,56.8253,83
rf,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,56.8253,83
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,56.994,83
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_4,spy_msm,57.0482,83
rf,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,57.0482,83
rf,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,57.0482,83
rf,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,57.0482,83
rf,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,57.0482,83
rf,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,57.0482,83
rf,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,57.0482,83
rf,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,57.0482,83
rf,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,57.0482,83
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,57.0482,83
rf,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,57.6446,83
rf,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,57.6446,83
rf,perf_drop_0.03_lookback_4,perf,57.6687,83
rf,perf_drop_0.05_lookback_3,perf,58.3795,83
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,58.6627,83
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,58.6627,83
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,58.6627,83
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,58.6627,83
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,58.6627,83
rf,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,59.8434,83
rf,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,59.8434,83
rf,fixed_12,fixed,59.9277,83
rf,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,60.2108,83
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,60.2108,83
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,60.2108,83
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,60.2108,83
rf,spy_msm_tau_1_0.83_tau_2_0.75_lb_6,spy_msm,60.2108,83
rf,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,60.3916,83
rf,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,60.3916,83
rf,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,60.3916,83
rf,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,60.3916,83
rf,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,60.3916,83
rf,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,60.3916,83
rf,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,60.4759,83
rf,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,60.4759,83
rf,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,60.4759,83
rf,fixed_9,fixed,62.6807,83
rf,perf_drop_0.15_lookback_3,perf,62.7651,83
rf,perf_drop_0.1_lookback_4,perf,62.8675,83
rf,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,63.6928,83
rf,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,63.6928,83
rf,perf_drop_0.1_lookback_6,perf,64.753,83
rf,causal_tau_1_0.88_tau_2_0.78_lb_3,causal,66.1084,83
rf,causal_tau_1_0.88_tau_2_0.75_lb_3,causal,66.1084,83
rf,causal_tau_1_0.88_tau_2_0.72_lb_3,causal,66.1084,83
rf,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,66.5,83
rf,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,66.5,83
rf,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,66.5,83
rf,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,66.5,83
rf,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,66.5,83
rf,causal_tau_1_0.83_tau_2_0.78_lb_3,causal,68.241,83
rf,random,random,68.506,83
rf,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,68.988,83
rf,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,69.7952,83
rf,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,69.7952,83
rf,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,69.7952,83
rf,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,69.7952,83
rf,causal_tau_1_0.8_tau_2_0.72_lb_6,causal,69.7952,83
rf,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,69.7952,83
rf,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,69.7952,83
rf,causal_tau_1_0.8_tau_2_0.75_lb_6,causal,69.7952,83
rf,causal_tau_1_0.88_tau_2_0.72_lb_4,causal,72.9819,83
rf,causal_tau_1_0.88_tau_2_0.75_lb_4,causal,72.9819,83
rf,adwin_delta_0.01,adwin,75.0602,83
rf,perf_drop_0.15_lookback_6,perf,75.0602,83
rf,perf_drop_0.15_lookback_4,perf,75.0602,83
rf,adwin_delta_0.05,adwin,75.0602,83
rf,adwin_delta_0.1,adwin,75.0602,83
rf,static,static,75.0602,83
rf,perf_drop_0.2_lookback_4,perf,75.0602,83
rf,perf_drop_0.2_lookback_3,perf,75.0602,83
rf,perf_drop_0.2_lookback_6,perf,75.0602,83
xgboost,msm_tau_1_0.83_tau_2_0.72_lb_3,msm,49.6024,83
xgboost,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,49.6024,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,49.6024,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,49.6024,83
xgboost,perf_drop_0.1_lookback_6,perf,51.7229,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_4,timeout_msm,51.9036,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,timeout_msm,51.9036,83
xgboost,perf_drop_0.03_lookback_3,perf,52.0843,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_3,timeout_msm,52.241,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_3,timeout_msm,52.241,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,52.241,83
xgboost,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,52.241,83
xgboost,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,52.241,83
xgboost,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,52.241,83
xgboost,perf_drop_0.1_lookback_4,perf,52.8976,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.75_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_6,timeout_msm,53.3795,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.78_lb_6,timeout_msm,53.3795,83
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,53.8735,83
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,53.8735,83
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,53.8735,83
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,53.8735,83
xgboost,fixed_3,fixed,54.6446,83
xgboost,fixed_9,fixed,54.8373,83
xgboost,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,54.8675,83
xgboost,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,54.9819,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,54.9819,83
xgboost,fixed_6,fixed,55.2108,83
xgboost,perf_drop_0.05_lookback_3,perf,55.4277,83
xgboost,perf_drop_0.05_lookback_6,perf,55.6325,83
xgboost,perf_drop_0.05_lookback_4,perf,56.3675,83
xgboost,perf_drop_0.03_lookback_6,perf,57.5723,83
xgboost,perf_drop_0.15_lookback_3,perf,57.7048,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,57.7108,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,57.7108,83
xgboost,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,57.7108,83
xgboost,timeout_msm_tau_1_0.8_tau_2_0.75_lb_4,timeout_msm,57.7108,83
xgboost,timeout_msm_tau_1_0.8_tau_2_0.72_lb_4,timeout_msm,57.7108,83
xgboost,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,57.8976,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,57.8976,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.75_lb_4,spy_msm,57.8976,83
xgboost,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,57.8976,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_4,spy_msm,57.8976,83
xgboost,perf_drop_0.15_lookback_4,perf,58.1205,83
xgboost,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,58.6446,83
xgboost,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,58.6446,83
xgboost,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,58.6446,83
xgboost,msm_tau_1_0.83_tau_2_0.72_lb_4,msm,58.6446,83
xgboost,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,58.6446,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,59.3072,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,59.5964,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,59.5964,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,59.5964,83
xgboost,perf_drop_0.03_lookback_4,perf,59.7229,83
xgboost,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,60.1747,83
xgboost,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,60.1747,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,60.5663,83
xgboost,spy_msm_tau_1_0.88_tau_2_0.72_lb_3,spy_msm,60.5663,83
xgboost,spy_msm_tau_1_0.83_tau_2_0.78_lb_3,spy_msm,60.9699,83
