model_type,retrainer,exp_type,total_retrains,true_positives,false_positives,false_positive_rate,precision
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,16,2,14,0.875,0.125
lr,msm_tau_1_0.8_tau_2_0.72_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.8_tau_2_0.72_lb_6,msm,18,2,16,0.8889,0.1111
lr,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,16,2,14,0.875,0.125
lr,msm_tau_1_0.8_tau_2_0.75_lb_4,msm,19,2,17,0.8947,0.1053
lr,msm_tau_1_0.8_tau_2_0.75_lb_6,msm,18,2,16,0.8889,0.1111
lr,perf_drop_0.03_lookback_3,perf,16,1,15,0.9375,0.0625
lr,perf_drop_0.03_lookback_4,perf,16,2,14,0.875,0.125
lr,perf_drop_0.03_lookback_6,perf,13,2,11,0.8462,0.1538
lr,perf_drop_0.05_lookback_3,perf,17,2,15,0.8824,0.1176
lr,perf_drop_0.05_lookback_4,perf,14,2,12,0.8571,0.1429
lr,perf_drop_0.05_lookback_6,perf,11,2,9,0.8182,0.1818
lr,perf_drop_0.15_lookback_3,perf,11,1,10,0.9091,0.0909
lr,perf_drop_0.15_lookback_4,perf,5,0,5,1.0,0.0
lr,perf_drop_0.15_lookback_6,perf,2,0,2,1.0,0.0
lr,perf_drop_0.1_lookback_3,perf,15,1,14,0.9333,0.0667
lr,perf_drop_0.1_lookback_4,perf,9,1,8,0.8889,0.1111
lr,perf_drop_0.1_lookback_6,perf,5,1,4,0.8,0.2
lr,perf_drop_0.2_lookback_3,perf,3,0,3,1.0,0.0
lr,perf_drop_0.2_lookback_4,perf,2,0,2,1.0,0.0
lr,random,random,6,0,6,1.0,0.0
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_3,spy_msm,15,1,14,0.9333,0.0667
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_4,spy_msm,16,1,15,0.9375,0.0625
lr,spy_msm_tau_1_0.83_tau_2_0.72_lb_6,spy_msm,16,1,15,0.9375,0.0625
