model_type,exp_type,tau_1,tau_2,lookback,mean_f1,std_f1,mean_dir_accuracy,retrains
rf,spy_msm,0.8,0.75,3.0,0.4184,0.1014,0.5142,15
rf,spy_msm,0.83,0.72,3.0,0.4184,0.1014,0.5142,15
rf,spy_msm,0.83,0.75,3.0,0.4184,0.1014,0.5142,15
rf,spy_msm,0.83,0.78,3.0,0.4184,0.1014,0.5142,15
rf,spy_msm,0.88,0.72,6.0,0.4181,0.112,0.5276,17
rf,spy_msm,0.88,0.75,6.0,0.4181,0.112,0.5276,17
rf,spy_msm,0.88,0.78,6.0,0.4181,0.112,0.5276,17
rf,spy_msm,0.8,0.72,4.0,0.4134,0.0986,0.5342,16
rf,spy_msm,0.8,0.75,4.0,0.4134,0.0986,0.5342,16
rf,spy_msm,0.83,0.72,4.0,0.4134,0.0986,0.5342,16
rf,spy_msm,0.83,0.75,4.0,0.4134,0.0986,0.5342,16
rf,spy_msm,0.83,0.78,4.0,0.4134,0.0986,0.5342,16
rf,spy_msm,0.8,0.72,6.0,0.4105,0.1017,0.5178,16
rf,spy_msm,0.8,0.75,6.0,0.4105,0.1017,0.5178,16
rf,spy_msm,0.83,0.72,6.0,0.4105,0.1017,0.5178,16
rf,spy_msm,0.83,0.75,6.0,0.4105,0.1017,0.5178,16
rf,spy_msm,0.83,0.78,6.0,0.4105,0.1017,0.5178,16
xgboost,causal,0.8,0.72,3.0,0.4183,0.1218,0.4697,16
xgboost,causal,0.8,0.75,3.0,0.4183,0.1218,0.4697,16
xgboost,causal,0.83,0.78,3.0,0.4044,0.125,0.4389,18
xgboost,causal,0.8,0.72,4.0,0.4036,0.1297,0.4323,19
xgboost,causal,0.8,0.75,4.0,0.4036,0.1297,0.4323,19
xgboost,causal,0.83,0.72,4.0,0.4036,0.1297,0.4323,19
xgboost,causal,0.83,0.75,4.0,0.4036,0.1297,0.4323,19
xgboost,causal,0.83,0.78,4.0,0.4036,0.1297,0.4323,19
xgboost,causal,0.83,0.72,3.0,0.4008,0.1205,0.4373,18
xgboost,causal,0.83,0.75,3.0,0.4008,0.1205,0.4373,18
xgboost,causal,0.88,0.78,4.0,0.3886,0.1163,0.4356,19
xgboost,causal,0.8,0.72,6.0,0.3873,0.1171,0.4288,18
xgboost,causal,0.8,0.75,6.0,0.3873,0.1171,0.4288,18
