model_type,retrainer,exp_type,retrain_rate_calm,retrain_rate_stress,stress_calm_ratio
lr,spy_msm_tau_1_0.88_tau_2_0.72_lb_6,spy_msm,0.2133,0.125,0.586
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0.2133,0.125,0.586
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0.2133,0.125,0.586
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,0.2133,0.125,0.586
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0.2133,0.125,0.586
lr,perf_drop_0.15_lookback_4,perf,0.0667,0.0,0.0
lr,perf_drop_0.15_lookback_6,perf,0.0267,0.0,0.0
lr,perf_drop_0.2_lookback_3,perf,0.04,0.0,0.0
lr,perf_drop_0.2_lookback_4,perf,0.0267,0.0,0.0
lr,random,random,0.08,0.0,0.0
lr,adwin_delta_0.01,adwin,0.0,0.125,
lr,adwin_delta_0.05,adwin,0.0,0.0,
lr,adwin_delta_0.1,adwin,0.0,0.0,
lr,perf_drop_0.2_lookback_6,perf,0.0,0.0,
lr,static,static,0.0,0.0,
rf,perf_drop_0.15_lookback_3,perf,0.0667,0.25,3.7481
rf,fixed_9,fixed,0.0933,0.25,2.6795
rf,perf_drop_0.05_lookback_4,perf,0.1467,0.375,2.5562
rf,perf_drop_0.1_lookback_3,perf,0.12,0.25,2.0833
rf,fixed_12,fixed,0.0667,0.125,1.8741
rf,perf_drop_0.03_lookback_3,perf,0.2267,0.375,1.6542
rf,perf_drop_0.03_lookback_4,perf,0.1733,0.25,1.4426
rf,causal_tau_1_0.8_tau_2_0.72_lb_3,causal,0.1867,0.25,1.339
rf,causal_tau_1_0.8_tau_2_0.75_lb_3,causal,0.1867,0.25,1.339
rf,msm_tau_1_0.8_tau_2_0.72_lb_3,msm,0.1867,0.25,1.339
rf,msm_tau_1_0.8_tau_2_0.75_lb_3,msm,0.1867,0.25,1.339
rf,perf_drop_0.05_lookback_3,perf,0.1867,0.25,1.339
rf,timeout_msm_tau_1_0.8_tau_2_0.72_lb_3,timeout_msm,0.1867,0.25,1.339
rf,timeout_msm_tau_1_0.8_tau_2_0.75_lb_3,timeout_msm,0.1867,0.25,1.339
rf,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.2133,0.25,1.1721
rf,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0.2133,0.25,1.1721
