model_type,retrainer,exp_type,class,class_name,f1
lr,msm_tau_1_0.83_tau_2_0.72_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,0,down,0.5447
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,1,neutral,0.4743
lr,msm_tau_1_0.83_tau_2_0.75_lb_3,msm,2,up,0.5182
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,0,down,0.5423
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,1,neutral,0.4773
lr,msm_tau_1_0.83_tau_2_0.75_lb_4,msm,2,up,0.5174
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.83_tau_2_0.75_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,0,down,0.5387
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,1,neutral,0.4731
lr,msm_tau_1_0.83_tau_2_0.78_lb_3,msm,2,up,0.5186
lr,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,0,down,0.5423
lr,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,1,neutral,0.4773
lr,msm_tau_1_0.83_tau_2_0.78_lb_4,msm,2,up,0.5174
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.83_tau_2_0.78_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,0,down,0.5464
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,1,neutral,0.4758
lr,msm_tau_1_0.88_tau_2_0.72_lb_3,msm,2,up,0.5228
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,0,down,0.5475
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,1,neutral,0.4828
lr,msm_tau_1_0.88_tau_2_0.72_lb_4,msm,2,up,0.5188
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.88_tau_2_0.72_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,0,down,0.5464
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,1,neutral,0.4758
lr,msm_tau_1_0.88_tau_2_0.75_lb_3,msm,2,up,0.5228
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,0,down,0.5475
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,1,neutral,0.4828
lr,msm_tau_1_0.88_tau_2_0.75_lb_4,msm,2,up,0.5188
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,0,down,0.5365
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,1,neutral,0.4736
lr,msm_tau_1_0.88_tau_2_0.75_lb_6,msm,2,up,0.5283
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,0,down,0.5464
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,1,neutral,0.4758
lr,msm_tau_1_0.88_tau_2_0.78_lb_3,msm,2,up,0.5228
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,0,down,0.5358
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,1,neutral,0.4746
lr,msm_tau_1_0.88_tau_2_0.78_lb_4,msm,2,up,0.521
lr,msm_tau_1_0.88_tau_2_0.78_lb_6,msm,0,down,0.5365
