window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
67,2022-07-08,2024-07-10,24,False,False,False,3,0.5691,0.5556,"[2, 0, 2, 1, 2, 0, 0, 0, 2, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 2, 0]","[1, 2, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 150}",0.6923,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
68,2022-08-08,2024-08-08,24,True,True,False,0,0.4065,0.5455,"[2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 0, 2, 1, 1, 0, 1, 2, 0, 1, 1, 0]","[0, 1, 2, 2, 2, 0, 2, 2, 2, 2, 0, 2, 2, 1, 1, 1, 1, 0, 0, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.6667,"{""(7, 9, 0)"": 0.25, ""(0, 3, 0)"": 0.5, ""(4, 5, 0)"": 0.75, ""(8, 0, 4)"": 0.25, ""(1, 7, 0)"": 0.25, ""(6, 3, 1)"": 0.75, ""(10, 7, 1)"": 0.25, ""(6, 6, 3)"": 0.75, ""(4, 6, 0)"": 0.75, ""(0, 8, 1)"": 0.75, ""(2, 9, 0)"": 0.75, ""(0, 6, 0)"": 0.25, ""(8, 0, 3)"": 0.25, ""(10, 2, 4)"": 0.25, ""(3, 10, 3)"": 0.25, ""(6, 6, 2)"": 0.5, ""(2, 6, 0)"": 0.5, ""(3, 3, 3)"": 0.5, ""(6, 7, 0)"": 0.5}",,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
69,2022-09-07,2024-09-09,22,False,False,True,1,0.4368,0.4167,"[2, 2, 2, 2, 2, 1, 1, 0, 2, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1, 2, 0]","[0, 0, 2, 2, 1, 2, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 0, 0, 1, 0, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.6875,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
70,2022-10-06,2024-10-08,19,False,True,True,2,0.379,0.4545,"[2, 2, 1, 2, 2, 0, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 2, 1, 2]","[0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 2, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.6742,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
71,2022-11-04,2024-11-06,19,False,False,False,3,0.4629,0.5833,"[2, 2, 2, 1, 0, 1, 0, 0, 2, 1, 1, 2, 1, 1, 2, 0, 2, 1, 1, 2, 1]","[0, 2, 2, 0, 1, 0, 0, 0, 2, 1, 0, 2, 0, 2, 1, 2, 2, 1, 1, 1, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.7241,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
72,2022-12-06,2024-12-06,17,True,True,False,0,0.4152,0.5294,"[1, 0, 0, 2, 0, 1, 2, 0, 0, 1, 2, 2, 2, 1, 0, 0, 0, 0, 2, 2, 0]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 0, 2, 1, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 350}",0.77,"{""(3, 5, 0)"": 0.5, ""(2, 2, 2)"": 0.25, ""(0, 3, 0)"": 0.25, ""(0, 5, 0)"": 0.75, ""(6, 6, 3)"": 0.5, ""(0, 8, 1)"": 0.75, ""(8, 2, 1)"": 0.25, ""(3, 0, 5)"": 0.25, ""(10, 2, 4)"": 0.25, ""(6, 6, 2)"": 0.5}",,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
73,2023-01-06,2025-01-08,18,False,False,True,1,0.4623,0.4706,"[1, 0, 1, 1, 2, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2, 1, 0]","[0, 2, 0, 1, 2, 0, 1, 1, 1, 0, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 350}",0.7935,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
74,2023-02-07,2025-02-10,27,False,True,True,2,0.6727,0.75,"[2, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 2, 0, 2, 0, 0]","[2, 2, 1, 2, 2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 350}",0.6328,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
75,2023-03-09,2025-03-12,21,False,False,False,3,0.4451,0.7222,"[2, 0, 2, 2, 0, 2, 0, 1, 2, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 2]","[2, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 350}",0.6917,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
76,2023-04-10,2025-04-10,28,True,True,False,0,0.4185,0.7059,"[0, 2, 2, 0, 0, 1, 0, 2, 2, 2, 2, 1, 2, 1, 2, 2, 0, 0, 2, 2, 1]","[0, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.6351,"{""(0, 7, 1)"": 0.25, ""(9, 1, 1)"": 0.25, ""(0, 1, 0)"": 0.25, ""(3, 5, 0)"": 0.75, ""(7, 9, 0)"": 0.25, ""(0, 10, 2)"": 0.5, ""(3, 9, 0)"": 0.5, ""(0, 5, 0)"": 0.75, ""(10, 7, 1)"": 0.25, ""(10, 8, 2)"": 0.25, ""(6, 6, 3)"": 0.25, ""(4, 6, 0)"": 0.5, ""(0, 8, 1)"": 0.25, ""(5, 5, 2)"": 0.75, ""(9, 7, 3)"": 0.25, ""(6, 7, 1)"": 0.25, ""(5, 6, 0)"": 0.25, ""(10, 2, 4)"": 0.5, ""(6, 6, 2)"": 0.25, ""(0, 8, 0)"": 0.5, ""(9, 1, 4)"": 0.25, ""(9, 3, 1)"": 0.5}",,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
77,2023-05-09,2025-05-12,16,False,False,True,1,0.3127,0.4,"[2, 2, 1, 2, 2, 1, 0, 0, 1, 0, 2, 0, 2, 1, 2, 2, 1, 0, 2, 1, 2]","[2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 2, 1, 2, 1, 2, 1, 1]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.6216,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
78,2023-06-08,2025-06-11,18,False,True,True,2,0.6222,0.625,"[0, 2, 0, 2, 0, 1, 0, 2, 2, 1, 2, 2, 2, 1, 2, 2, 0, 1, 2, 1, 0]","[2, 2, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 2, 1, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.6694,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
79,2023-07-11,2025-07-14,16,False,False,False,3,0.4332,0.5833,"[1, 0, 1, 2, 1, 1, 1, 2, 1, 2, 1, 0, 1, 0, 0, 2, 0, 2, 1, 2, 0]","[1, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 2, 1, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.629,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
80,2023-08-09,2025-08-12,16,True,True,False,0,0.509,0.5,"[2, 1, 1, 0, 1, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 2, 2, 0, 1, 1, 1]","[2, 1, 1, 2, 1, 1, 1, 0, 2, 0, 0, 1, 2, 0, 0, 1, 1, 2, 1, 0, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.9167,"{""(3, 5, 0)"": 0.5, ""(5, 6, 0)"": 0.75, ""(3, 9, 0)"": 0.5, ""(0, 8, 0)"": 0.75}",,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
81,2023-09-08,2025-09-11,17,False,False,True,1,0.4815,0.5,"[2, 1, 2, 1, 1, 2, 2, 2, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1, 0, 2, 0]","[2, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 2, 0, 1, 0, 0, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.9306,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
82,2023-10-09,2025-10-10,21,False,False,True,2,0.5162,0.6923,"[0, 2, 1, 2, 0, 2, 2, 1, 0, 2, 2, 2, 1, 1, 0, 1, 1, 0, 1, 0, 1]","[0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 2, 2, 1, 2, 0, 0, 1, 1, 0, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250}",0.7609,{},,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
83,2023-11-07,2025-11-10,22,True,True,False,0,0.5185,0.5,"[2, 1, 1, 0, 1, 0, 0, 1, 0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 0, 1]","[2, 0, 1, 1, 0, 0, 0, 0, 2, 0, 2, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 350}",0.6786,"{""(9, 1, 1)"": 0.25, ""(8, 1, 4)"": 0.25, ""(9, 7, 1)"": 0.25, ""(7, 1, 4)"": 0.25, ""(10, 10, 3)"": 0.25, ""(1, 6, 5)"": 0.25, ""(4, 6, 0)"": 0.5, ""(0, 8, 1)"": 0.5, ""(5, 5, 2)"": 0.5, ""(7, 7, 1)"": 0.25, ""(7, 10, 3)"": 0.25, ""(5, 6, 0)"": 0.25, ""(3, 8, 5)"": 0.25}",,timeout_msm_tau_1_0.88_tau_2_0.78_lb_4,rf
