window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
37,2020-01-07,2022-01-04,20,True,True,False,0,0.409,0.4667,"[1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 2]","[1, 2, 2, 1, 1, 1, 2, 0, 2, 1, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.8148,"{""(0, 7, 4)"": 0.167, ""(9, 6, 3)"": 0.5, ""(4, 5, 0)"": 0.667, ""(1, 3, 3)"": 0.333, ""(10, 10, 3)"": 0.667, ""(8, 8, 2)"": 0.333, ""(0, 8, 1)"": 0.667, ""(6, 6, 2)"": 0.333, ""(4, 4, 2)"": 0.5}",,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
38,2020-02-06,2022-02-03,31,False,False,True,1,0.5758,0.6316,"[0, 1, 0, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0]","[2, 2, 0, 2, 1, 2, 0, 2, 2, 1, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6528,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
39,2020-03-09,2022-03-07,26,False,True,True,2,0.2468,0.3889,"[0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 1, 2]","[0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 1, 0, 2, 0, 2, 1, 0, 2, 1]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6316,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
40,2020-04-07,2022-04-05,19,False,False,False,3,0.2773,0.3125,"[0, 0, 1, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 1, 2, 0, 2, 1, 2]","[2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 0, 1, 0, 0, 0, 0, 2, 2, 0, 2, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.5897,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
41,2020-05-07,2022-05-05,25,True,True,False,0,0.4474,0.7222,"[0, 0, 0, 1, 0, 1, 2, 0, 2, 0, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0]","[0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 2, 0, 2, 2, 0, 0, 2, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.5388,"{""(6, 9, 0)"": 0.5, ""(2, 8, 3)"": 0.167, ""(2, 2, 2)"": 0.167, ""(9, 6, 3)"": 0.167, ""(4, 5, 0)"": 0.667, ""(3, 7, 0)"": 0.167, ""(1, 3, 3)"": 0.333, ""(0, 0, 1)"": 0.5, ""(0, 8, 2)"": 0.167, ""(3, 9, 0)"": 0.167, ""(2, 8, 2)"": 0.333, ""(10, 10, 3)"": 0.667, ""(8, 8, 2)"": 0.167, ""(9, 6, 5)"": 0.167, ""(0, 3, 2)"": 0.167, ""(4, 6, 0)"": 0.5, ""(0, 8, 1)"": 0.5, ""(6, 10, 0)"": 0.167, ""(0, 6, 0)"": 0.667, ""(9, 2, 1)"": 0.167, ""(8, 6, 4)"": 0.167, ""(8, 8, 1)"": 0.667, ""(8, 9, 0)"": 0.667, ""(2, 0, 3)"": 0.167, ""(7, 6, 5)"": 0.167, ""(4, 4, 2)"": 0.167, ""(2, 6, 0)"": 0.333, ""(6, 10, 5)"": 0.5, ""(7, 1, 5)"": 0.167}",,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
42,2020-06-08,2022-06-06,22,False,False,True,1,0.3685,0.6667,"[1, 2, 0, 0, 0, 0, 0, 2, 0, 1, 2, 1, 2, 2, 0, 0, 1, 0, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.5296,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
43,2020-07-08,2022-07-07,30,False,True,True,2,0.6167,0.7222,"[2, 1, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 1, 0, 2, 2, 2, 0, 0, 2, 1]","[2, 2, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 1]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.5,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
44,2020-08-06,2022-08-05,23,False,False,False,3,0.2556,0.3846,"[1, 1, 0, 2, 1, 2, 1, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1, 0]","[0, 2, 0, 2, 2, 0, 0, 0, 2, 1, 1, 0, 2, 2, 0, 0, 2, 0, 2, 0, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.562,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
45,2020-09-04,2022-09-06,20,True,True,False,0,0.4646,0.7368,"[0, 2, 2, 2, 2, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 2]","[0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 0, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6261,"{""(2, 8, 3)"": 0.167, ""(3, 7, 0)"": 0.667, ""(1, 10, 0)"": 0.167, ""(5, 5, 3)"": 0.167, ""(1, 3, 0)"": 0.167, ""(0, 2, 1)"": 0.667, ""(0, 5, 0)"": 0.167, ""(6, 8, 3)"": 0.167, ""(2, 8, 5)"": 0.333, ""(0, 8, 1)"": 0.667, ""(6, 10, 0)"": 0.333, ""(7, 5, 1)"": 0.333, ""(0, 6, 0)"": 0.5, ""(5, 3, 1)"": 0.167, ""(4, 4, 2)"": 0.167, ""(0, 8, 0)"": 0.333, ""(6, 10, 5)"": 0.333, ""(1, 9, 2)"": 0.333, ""(3, 0, 4)"": 0.333}",,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
46,2020-10-06,2022-10-05,20,False,False,True,1,0.5097,0.8,"[1, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2]","{""C"": 0.10000000000000002, ""class_weight"": null, ""penalty"": ""l2"", ""solver"": ""saga""}",0.6306,{},,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,lr
