window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
13,2018-01-04,2020-01-06,19,False,False,True,1,0.5179,0.5333,"[2, 0, 2, 2, 0, 2, 0, 1, 2, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 2, 2]","[0, 0, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 150}",0.8947,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
14,2018-02-05,2020-02-05,17,False,False,True,2,0.7677,0.8235,"[2, 1, 0, 2, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]","[2, 1, 0, 0, 2, 2, 1, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 150}",0.8667,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
15,2018-03-07,2020-03-06,25,False,False,False,3,0.4781,0.7,"[0, 0, 2, 0, 0, 2, 0, 2, 0, 1, 0, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0]","[0, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 0, 2, 1]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 150}",0.7011,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
16,2018-04-06,2020-04-06,26,True,True,False,0,0.5385,0.8889,"[2, 1, 2, 2, 0, 2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 0, 2, 0, 0, 1, 2]","[2, 0, 2, 2, 2, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.6126,"{""(7, 9, 0)"": 0.667, ""(6, 6, 4)"": 0.667, ""(6, 3, 5)"": 0.333, ""(0, 2, 1)"": 0.333, ""(1, 0, 1)"": 0.333, ""(0, 5, 0)"": 0.333, ""(7, 1, 1)"": 0.333, ""(2, 0, 1)"": 0.333, ""(8, 8, 2)"": 0.333, ""(3, 5, 2)"": 0.333, ""(2, 7, 0)"": 0.333, ""(6, 6, 3)"": 0.333, ""(4, 6, 0)"": 0.333, ""(0, 8, 1)"": 0.667, ""(3, 6, 0)"": 0.667, ""(1, 9, 0)"": 0.667, ""(7, 10, 0)"": 0.333, ""(8, 9, 0)"": 0.667, ""(1, 2, 3)"": 0.333, ""(3, 4, 2)"": 0.333, ""(5, 5, 4)"": 0.333, ""(1, 8, 3)"": 0.333, ""(7, 7, 3)"": 0.667, ""(3, 8, 2)"": 0.333, ""(6, 7, 0)"": 0.333}",,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
17,2018-05-07,2020-05-06,30,False,False,True,1,0.3194,0.5263,"[0, 2, 2, 1, 0, 0, 2, 2, 2, 0, 2, 0, 1, 2, 2, 0, 2, 2, 2, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.6585,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
18,2018-06-06,2020-06-05,20,False,True,True,2,0.5097,0.8,"[2, 2, 0, 0, 0, 2, 2, 2, 0, 1, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2]","[2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 2, 2, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.7238,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
19,2018-07-06,2020-07-07,28,False,False,False,3,0.401,0.6316,"[0, 2, 0, 2, 0, 2, 2, 0, 1, 2, 1, 2, 0, 0, 2, 0, 2, 0, 2, 2, 2]","[0, 2, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.7027,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
20,2018-08-06,2020-08-05,36,True,True,False,0,0.2707,0.5833,"[2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 2, 0, 2, 2]","[2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.6829,"{""(0, 7, 4)"": 0.667, ""(6, 6, 4)"": 0.333, ""(0, 0, 1)"": 0.333, ""(0, 2, 4)"": 0.333, ""(7, 1, 1)"": 0.667, ""(0, 7, 3)"": 0.333, ""(10, 10, 3)"": 0.333, ""(10, 1, 3)"": 0.667, ""(7, 6, 3)"": 0.333, ""(4, 6, 0)"": 0.333, ""(1, 2, 1)"": 0.333, ""(3, 8, 0)"": 0.667, ""(5, 6, 0)"": 0.667, ""(8, 8, 1)"": 0.333, ""(8, 7, 3)"": 0.333, ""(8, 9, 0)"": 0.667, ""(4, 4, 2)"": 0.333, ""(1, 2, 3)"": 0.667, ""(1, 3, 1)"": 0.333, ""(8, 10, 1)"": 0.333, ""(5, 5, 4)"": 0.667, ""(1, 8, 3)"": 0.667, ""(7, 7, 3)"": 0.333, ""(3, 8, 2)"": 0.333}",,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
21,2018-09-05,2020-09-03,28,False,False,True,1,0.4569,0.7368,"[0, 0, 0, 2, 0, 1, 2, 2, 0, 0, 0, 0, 2, 0, 1, 2, 2, 0, 2, 2, 0]","[0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.748,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
22,2018-10-04,2020-10-05,24,False,True,True,2,0.2892,0.5294,"[2, 0, 2, 2, 2, 2, 0, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 2, 0, 2]","[2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 2]","{""class_weight"": null, ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 50}",0.7333,{},,msm_tau_1_0.8_tau_2_0.72_lb_3,rf
