window,date_start,date_end,total_edges,retrain_triggered,signal_fired,cooldown_active,windows_since_retrain,f1,directional_acc,y_true,y_pred,best_params,graph_msm,unstable_edges,active_features,retrainer,model_type
31,2019-07-09,2021-07-07,22,False,False,False,30,0.4183,0.6667,"[2, 0, 2, 2, 0, 1, 0, 0, 0, 2, 2, 1, 2, 2, 0, 1, 2, 0, 0, 2, 0]","[0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
32,2019-08-07,2021-08-05,22,False,False,False,31,0.2286,0.4615,"[2, 1, 1, 1, 2, 2, 1, 2, 0, 0, 1, 2, 2, 1, 1, 0, 2, 2, 0, 1, 2]","[2, 2, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
33,2019-09-06,2021-09-03,23,False,False,False,32,0.3815,0.6471,"[1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 2, 0]","[2, 0, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 2, 0, 2, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
34,2019-10-07,2021-10-05,25,False,False,False,33,0.3248,0.5882,"[2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 0, 2, 1, 1, 2]","[2, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 1, 0, 0, 0, 2, 0, 2, 0, 0, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
35,2019-11-05,2021-11-03,24,False,False,False,34,0.3362,0.5882,"[2, 2, 2, 1, 0, 0, 1, 2, 1, 2, 0, 2, 0, 0, 1, 2, 0, 2, 0, 0, 2]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
36,2019-12-05,2021-12-03,18,False,False,False,35,0.5017,0.7895,"[0, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 1, 1, 0, 0, 2]","[0, 2, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 2, 2, 0, 2, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
37,2020-01-07,2022-01-04,20,False,False,False,36,0.3084,0.5,"[1, 0, 1, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 2]","[2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 2, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
38,2020-02-06,2022-02-03,31,False,False,False,37,0.4541,0.7,"[0, 2, 0, 2, 2, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0, 2, 0, 0]","[2, 2, 0, 2, 2, 2, 0, 2, 2, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 0, 0]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
39,2020-03-09,2022-03-07,26,False,False,False,38,0.4541,0.7,"[0, 0, 2, 0, 0, 0, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 0, 0, 2, 2]","[0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
40,2020-04-07,2022-04-05,19,False,False,False,39,0.307,0.4737,"[0, 0, 2, 0, 0, 0, 2, 0, 1, 2, 1, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2]","[0, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 0, 1, 2, 0, 2, 2]","{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",,,,adwin_delta_0.05,xgboost
